threshold,hacked_cells,evaluable,prevented,mitigation_rate
51.0,69,65,31,0.47692307692307695
51.5,45,45,32,0.7111111111111111
52.0,45,45,32,0.7111111111111111
52.5,30,30,24,0.8
53.0,30,30,24,0.8
53.5,18,18,15,0.8333333333333334
54.0,18,18,15,0.8333333333333334
54.5,14,14,11,0.7857142857142857
55.0,13,13,10,0.7692307692307693
55.5,11,11,8,0.7272727272727273
56.0,11,11,8,0.7272727272727273
56.5,9,9,7,0.7777777777777778
57.0,8,8,6,0.75
57.5,6,6,6,1.0
58.0,5,5,5,1.0
58.5,2,2,2,1.0
59.0,2,2,2,1.0
59.5,1,1,1,1.0
60.0,1,1,1,1.0
