effect_strength,threshold_pct,n_detected,evaluable,n_clusters,replication_rate,rate_lo,rate_hi,same_model_baseline,base_lo,base_hi
55,53.0,109.982,104.206,17,0.6182945319847226,0.5619290941303143,0.6659231859474471,0.6666218835767614,0.615836414902932,0.7090101704860883
60,53.0,141.34,133.528,17,0.7795967886885148,0.7298472365976816,0.8245808575692991,0.8123240069498532,0.7725515386135816,0.8444879984889538
65,53.0,161.918,152.782,17,0.8846460970533178,0.84201637850264,0.9208173309282803,0.9071225667945176,0.8755494312268406,0.9321331860874408
70,53.0,172.474,162.73,17,0.9403551895778283,0.9086561164677825,0.9660158598354526,0.955730350887974,0.9353052104396762,0.9721525990521497
75,53.0,177.21,167.256,17,0.9642583823599751,0.9378011215992342,0.9841940278624262,0.9781412923901086,0.9665272829038577,0.9878442407652873
80,53.0,179.162,169.172,17,0.9745820821412526,0.94908290789096,0.9926465804273247,0.9874447308065164,0.9791678633145389,0.9937739578266899
85,53.0,180.032,170.024,17,0.9788265186091375,0.9532015682948889,0.9954364279952387,0.992248153201901,0.9855949463462588,0.9970743552694672
90,53.0,180.598,170.592,17,0.9815466141436878,0.9575665589887797,0.997700450567544,0.9943842618645657,0.9885142100440337,0.9984947580970419
95,53.0,180.74,170.74,17,0.9819960173363008,0.9540372204612875,0.9985129742910922,0.9954667916129788,0.989915326412681,0.9989988048583145
