Model,Provider,Release Date,Zero-Shot,Counterfactual,Instructional,Directional,Few-Shot,Framed+Imputation Rules,Low Top-p,High Temp,Batched Zero-Shot,Batched Low Top-p,Batched High Temp
Grok 4 Fast,xAI,09/19/25,51.00,50.00,51.00,52.00,55.00,47.00,49.00,,48.00,47.00,
Claude Sonnet 4.5,Anthropic,09/29/25,46.00,50.00,46.00,47.00,50.00,45.00,46.00,50.00,49.00,50.00,48.00
GPT 5 Chat,OpenAI,10/06/25,49.00,48.00,48.00,48.00,50.00,50.00,47.00,46.00,48.00,48.00,49.00
GPT 5.1 Chat,OpenAI,11/13/25,48.00,45.45,50.00,49.00,51.00,53.00,45.00,49.49,50.00,46.00,46.00
Gemini 3 Pro Preview,Google,11/18/25,,,,,,,,,,,
Grok 4.1 Fast,xAI,11/19/25,47.00,47.47,49.00,49.00,52.00,48.00,50.00,,50.00,48.00,
Claude Opus 4.5,Anthropic,11/24/25,49.00,49.00,55.00,47.00,51.00,48.00,51.00,49.00,50.00,49.00,49.00
GPT 5.2 Chat,OpenAI,12/10/25,53.12,54.08,51.00,51.00,51.00,50.00,51.04,54.95,53.00,52.00,46.00
Gemini 3 Flash Preview,Google,12/17/25,47.00,49.00,54.00,52.00,58.00,49.00,48.00,51.00,52.00,52.00,53.00
Claude Opus 4.6,Anthropic,02/02/26,53.00,49.00,52.00,47.00,49.00,48.00,53.00,52.00,49.00,50.00,48.00
Claude Sonnet 4.6,Anthropic,02/17/26,50.00,45.00,54.00,51.00,57.00,50.00,53.00,51.00,51.00,50.00,50.00
Gemini 3.1 Pro Preview,Google,02/19/26,59.09,47.87,52.11,56.04,57.14,52.04,62.90,56.86,,,
GPT 5.3 Chat,OpenAI,03/03/26,51.00,53.00,49.00,50.00,,53.00,53.00,51.00,50.00,51.00,54.00
Grok 4.20,xAI,03/31/26,48.00,49.00,58.00,46.00,58.00,45.00,50.00,57.89,50.00,52.00,46.46
Claude Opus 4.7,Anthropic,04/16/26,52.00,49.00,50.00,51.00,56.00,48.96,52.00,51.00,51.00,50.00,52.00
Grok 4.3,xAI,04/30/26,50.00,48.00,52.00,51.00,49.00,53.00,53.00,,46.46,49.00,
Gemini 3.5 Flash,Google,05/19/26,,,,,,,,,,,
Claude Opus 4.8,Anthropic,05/27/26,48.00,48.00,50.00,51.00,44.32,48.00,51.00,50.00,51.00,51.00,49.00
